layer,row,column,ISEG,IREACH,RCHLEN,STRTOP,SLOPE,STRTHICK,STRHC1,cellid,x,y,ICALC,OUTSEG,IUPSEG,IPRIOR,ROUGHCH,SWSID
1,57,29,13,2,563.4,373.141,8.04E-03,2.00E+00,5,10109,6392828.8,1977882.3,1,14,0,0,0.035,10345
1,58,29,13,3,280.1,369.153,8.04E-03,2.00E+00,5,10289,6392999.8,1977412.5,1,14,0,0,0.035,10345
1,58,28,13,4,409,366.344,8.04E-03,2.00E+00,5,10288,6392529.9,1977241.5,1,14,0,0,0.035,10345
1,59,28,13,5,465.3,363.018,8.04E-03,2.00E+00,5,10468,6392700.9,1976771.6,1,14,0,0,0.035,10345
1,59,27,13,6,145.9,359.846,8.04E-03,2.00E+00,5,10467,6392231.1,1976600.6,1,14,0,0,0.035,10345
1,60,27,13,7,598.3,357.346,8.04E-03,2.00E+00,5,10647,6392402.1,1976130.8,1,14,0,0,0.035,10345
1,61,27,13,8,312.5,354.763,8.04E-03,2.00E+00,5,10827,6392573.1,1975660.9,1,14,0,0,0.035,10345
1,61,26,13,9,208.2,351.639,8.04E-03,2.00E+00,5,10826,6392103.3,1975489.9,1,14,0,0,0.035,10345
1,61,26,14,1,28.3,350.668,8.04E-03,2.00E+00,1,10826,6392103.3,1975489.9,1,15,0,0,0.035,10127
1,62,26,15,1,343.5,349.585,3.25E-03,2.00E+00,1,11006,6392274.3,1975020.1,1,17,0,0,0.035,10127
1,62,27,15,2,275.4,348.503,3.25E-03,2.00E+00,1,11007,6392744.1,1975191.1,1,17,0,0,0.035,10127
1,63,27,15,3,428.3,347.42,3.25E-03,2.00E+00,1,11187,6392915.1,1974721.2,1,17,0,0,0.035,10127
1,63,28,15,4,244.3,346.337,3.25E-03,2.00E+00,1,11188,6393385,1974892.2,1,17,0,0,0.035,10127
1,64,28,15,5,619.5,345.095,3.25E-03,2.00E+00,1,11368,6393556,1974422.4,1,17,0,0,0.035,10127
1,65,28,15,6,195.6,343.608,3.25E-03,2.00E+00,1,11548,6393727,1973952.6,1,17,0,0,0.035,10127
1,65,19,16,1,305.8,428.825,1.49E-02,2.00E+00,5,11539,6389498.4,1972413.5,1,17,0,0,0.035,10033
1,64,19,16,2,591.2,417.202,1.49E-02,2.00E+00,5,11359,6389327.4,1972883.3,1,17,0,0,0.035,10256
1,64,20,16,3,367.1,409.912,1.49E-02,2.00E+00,5,11360,6389797.2,1973054.3,1,17,0,0,0.035,10256
1,65,20,16,4,95,406.539,1.49E-02,2.00E+00,5,11540,6389968.2,1972584.5,1,17,0,0,0.035,10256
1,64,20,16,5,176.7,403.763,1.49E-02,2.00E+00,5,11360,6389797.2,1973054.3,1,17,0,0,0.035,10256
1,64,21,16,6,595.3,397.17,1.49E-02,2.00E+00,5,11361,6390267.1,1973225.3,1,17,0,0,0.035,10256
1,64,22,16,7,537.5,387.721,1.49E-02,2.00E+00,5,11362,6390736.9,1973396.3,1,17,0,0,0.035,10256
1,64,23,16,8,518.5,383.307,1.49E-02,2.00E+00,5,11363,6391206.8,1973567.4,1,17,0,0,0.035,10256
1,64,24,16,9,564.9,375.062,1.49E-02,2.00E+00,5,11364,6391676.6,1973738.4,1,17,0,0,0.035,10256
1,64,25,16,10,620.1,369.338,1.49E-02,2.00E+00,5,11365,6392146.5,1973909.4,1,17,0,0,0.035,10256
1,64,26,16,11,31.8,366.473,1.49E-02,2.00E+00,5,11366,6392616.3,1974080.4,1,17,0,0,0.035,10256
