wellname,layer,row,column,roffset,coffset,xlocal,ylocal,x,y,active,geometry,Simulation,merr,mae,rmse,maxae,r2
NC-136,-3,293,120,-0.219656597,-0.278555677,59610.72216,98359.8283,6475774.713,1882616.073,1,POINT (6475774.713 1882616.073),Simulated,-9.45269911443,10.554959039079543,12.90977911354453,31.462222337679997,0.39174927113643093
NC-139,-3,269,116,-0.337713902,-0.31032857,57594.83571,110418.857,6469755.969,1893258.379,1,POINT (6469755.969 1893258.379),Simulated,17.2115452387726,17.2115452387726,17.77526194056879,26.844425201500002,0.29883360236138473
NC-142,-5,298,148,0.115144653,0.259699625,73879.84981,95692.42767,6490095.612,1884989.865,1,POINT (6490095.612 1884989.865),Simulated,-36.930344193246285,36.930344193246285,39.10319031429288,58.499464035100004,0.3574940141472527
NC-169,-7,143,68,-0.205410172,0.140778237,33820.38912,173352.7051,6425890.653,1944265.512,1,POINT (6425890.653 1944265.512),Simulated,14.192812833090903,16.605929288181812,18.7654462751238,31.119949340999995,0.5562235529108246
NC-171,-5,149,73,-0.373177843,0.466570743,36483.28537,170436.5889,6429390.327,1942436.023,1,POINT (6429390.327 1942436.023),Simulated,0.41836828120407765,19.609961996265305,21.996606603109683,46.89579772900001,0.33314925332774914
NC-172,-7,145,66,-0.10071411,0.241133129,32870.56656,172300.3571,6425358.036,1942951.77,1,POINT (6425358.036 1942951.77),Simulated,-11.445782470700001,15.959365844700008,20.060309722347707,35.025680542,0.7972094244918284
NC-174,-6,142,66,-0.343392823,-0.255304184,32622.34791,173921.6964,6424570.256,1944390.435,1,POINT (6424570.256 1944390.435),Simulated,0.05200386012500502,13.247716903624998,14.338683287417615,20.574859618999994,0.8277487030499594
NC-177,-4,190,89,0.15809737,-0.292839518,44103.58024,149670.9513,6443653.329,1925529.001,1,POINT (6443653.329 1925529.001),Simulated,15.345090692636369,15.345090692636369,15.53331001503061,19.254028320000003,0.8864211332534849
NC-179,-4,254,113,0.016823656,-0.258073414,56120.96329,117741.5882,6465866.46,1899635.401,1,POINT (6465866.46 1899635.401),Simulated,-0.6980608159909086,4.138800534336365,4.490464695718823,7.0708198548,0.8555902205891349
NC-181,-6,213,90,-0.435413705,0.484223352,44992.11168,138467.7069,6448320.01,1915305.291,1,POINT (6448320.01 1915305.291),Simulated,10.399963032181818,20.295631061963636,23.027049257841334,35.9263992314,0.4328164498770498
NC-182,-6,279,130,-0.36624406,-0.202753698,64648.62315,105433.122,6478089.583,1890985.858,1,POINT (6478089.583 1890985.858),Simulated,-65.63493742987164,65.63493742987164,69.0598098477664,111.09616231894,0.5760864687667911
NC-183,-7,279,126,-0.381550277,0.21155522,62855.77761,105440.7751,6476402.241,1890379.86,1,POINT (6476402.241 1890379.86),Simulated,-11.907250664436363,11.907250664436363,14.680445980352168,26.8179626465,0.4041308812917199
NC-184,-6,273,120,-0.031473483,-0.237793985,59631.10301,108265.7367,6472405.845,1891931.552,1,POINT (6472405.845 1891931.552),Simulated,-13.75003261564,14.454160881019998,17.77632920429609,29.7592964172,0.428142409769545
NC-185,-4,274,117,-0.49585149,0.051680268,58275.84013,107997.9257,6471223.911,1891216.365,1,POINT (6471223.911 1891216.365),Simulated,5.23158866034889,8.60289620294,10.497587803688052,21.2736244202,0.07934084016888372
NC-186,-6,282,97,-0.212312167,-0.25880725,48120.59638,103856.1561,6463097.672,1883851.077,1,POINT (6463097.672 1883851.077),Simulated,-45.63516203562333,45.63516203562333,47.583364497608564,59.74839305876999,0.024137026092854435
