wellname,time,Simulated,Observed
64272,1995-06-20,29.8217792511,21.7999992371
64272,1995-07-18,28.9129447937,19.0
64272,1995-08-10,28.3012638092,12.1000003815
64272,1995-09-08,27.783996582,12.1000003815
64272,1995-10-27,27.6951599121,10.8999996185
64272,1995-11-14,27.9157485962,13.5
64272,1995-12-13,28.5128059387,14.6000003815
64272,1996-01-24,29.6372756958,27.3999996185
64272,1996-02-16,30.0908946991,32.4000015259
64272,1996-03-07,30.3779506683,33.5999984741
64272,1996-05-20,31.3586235046,27.7000007629
64272,1996-06-13,30.7558002472,23.7999992371
64272,1996-07-16,29.6986713409,18.5
64272,1996-09-11,28.5231342316,10.6000003815
64272,1996-10-08,28.6540927887,11.6000003815
64272,1996-12-12,30.2473831177,20.0
64272,1997-01-28,31.6955833435,30.6000003815
64272,1997-02-26,32.6184539795,32.4000015259
64272,1997-03-15,32.8736076355,27.8999996185
64272,1997-04-02,33.0263977051,28.2000007629
64272,1997-05-15,33.1099395752,21.2000007629
64272,1997-06-10,32.741394043,15.1000003815
64272,1997-07-09,31.9930095673,14.6000003815
64272,1997-08-12,31.0938243866,9.30000019073
64272,1997-09-09,30.6263542175,10.1000003815
64272,1997-10-13,30.5182647705,10.6000003815
64272,1997-11-14,30.9170188904,11.8000001907
64272,1997-12-02,31.2577552795,14.6999998093
64272,1998-01-14,31.3878555298,25.6000003815
64272,1998-02-11,31.6177005768,33.7000007629
64272,1998-03-05,31.6002292633,33.5999984741
64272,1998-04-02,32.1114730835,30.6000003815
64272,1998-05-08,32.5285987854,29.2000007629
64272,1998-06-23,31.6846218109,23.6000003815
64272,1998-07-09,31.1993179321,22.6000003815
64272,1998-08-11,30.2158489227,17.6000003815
64272,1998-09-14,29.682308197,14.3999996185
64272,1998-10-07,29.5771255493,14.1000003815
64272,1998-11-05,29.7679615021,15.6000003815
64272,1998-12-02,30.4287528992,20.8999996185
64272,1999-01-07,31.0043811798,24.6000003815
64272,1999-02-23,32.1459922791,32.0999984741
64272,1999-03-11,32.4824943542,31.6000003815
64272,1999-04-09,32.8517875671,31.3999996185
64272,1999-05-04,32.918762207,29.1000003815
64272,1999-06-03,32.7560272217,20.7000007629
64272,1999-07-07,31.7623081207,16.5
64272,1999-08-04,30.8972320557,12.0
64272,1999-09-09,30.1276931763,11.3999996185
64272,1999-10-06,30.0538520813,9.69999980927
64272,1999-11-10,30.3488368988,10.6000003815
64272,1999-12-07,30.6822776794,11.6000003815
64272,2000-01-05,31.4085578918,19.2999992371
64272,2000-01-06,31.4356536865,19.2999992371
64272,2000-02-02,32.0565834045,26.6000003815
64272,2000-02-15,32.368347168,26.6000003815
64272,2000-03-07,32.7920455933,31.8999996185
64272,2000-04-05,33.1104240417,26.6000003815
64272,2000-05-09,33.1540908813,26.5
64272,2000-05-11,33.1429443359,26.5
64272,2000-06-29,31.9661540985,18.8999996185
64272,2000-07-28,30.8956985474,14.1000003815
64272,2000-08-15,30.3238182068,9.60000038147
64272,2000-08-30,29.907699585,9.60000038147
64272,2000-09-25,29.8496513367,10.6000003815
64272,2000-10-30,30.7182426453,15.6000003815
64272,2000-10-31,30.7418422699,15.6000003815
64272,2000-11-27,31.0549087524,19.7999992371
64272,2000-11-28,31.0647373199,19.7999992371
64272,2000-12-12,31.1638088226,19.7999992371
64272,2000-12-13,31.170135498,19.7999992371
64272,2001-01-23,31.5986557007,23.5
64272,2001-02-21,32.1039085388,27.2000007629
64272,2001-03-08,32.2757492065,30.8999996185
64272,2001-04-04,32.3377761841,26.2999992371
64272,2001-05-16,31.3237476349,22.5
64272,2001-06-06,30.60572052,18.1000003815
64272,2001-07-13,29.0781459808,16.7999992371
64272,2001-08-08,28.1897964478,11.3000001907
64272,2001-09-05,27.577922821,10.1000003815
64272,2001-10-16,28.0658168793,10.6999998093
64272,2001-11-16,28.7751998901,15.1999998093
64272,2002-01-10,30.6029644012,24.5
64272,2002-02-11,31.27617836,31.1000003815
64272,2002-03-13,31.6322212219,31.5
64272,2002-04-04,31.7352981567,28.5
64272,2002-05-14,31.3032913208,24.7999992371
64272,2002-06-04,31.0460891724,23.3999996185
64272,2002-07-10,29.2941703796,12.6999998093
64272,2002-08-12,28.1094112396,14.5
64272,2002-09-10,27.5664043427,11.3999996185
64272,2002-10-15,27.6099510193,10.0
64272,2002-11-07,27.8496608734,12.5
64272,2002-12-10,29.0621852875,18.2000007629
64272,2003-01-14,30.3790740967,31.5
64272,2003-02-10,30.9834480286,31.6000003815
64272,2003-03-05,31.4367027283,31.7999992371
64272,2003-04-03,31.9545192719,31.3999996185
64272,2003-05-06,32.308467865,32.0
64272,2003-06-04,32.1498222351,27.6000003815
64272,2003-07-10,30.5967979431,20.0
64272,2003-08-13,29.6680870056,15.5
64272,2003-09-05,29.258649826,14.8000001907
64272,2003-10-17,29.1711120605,12.6999998093
64272,2003-11-06,29.2826519012,13.5
64272,2003-12-09,30.1671218872,21.3999996185
64272,2004-01-15,31.1661872864,29.5
64272,2004-02-05,31.6469955444,27.7999992371
64272,2004-03-09,32.2776565552,28.1000003815
64272,2004-04-05,32.2845306396,31.6000003815
64272,2004-05-06,31.8774261475,23.6000003815
64272,2004-06-02,31.2045726776,22.3999996185
64272,2004-07-07,29.8795070648,17.1000003815
64272,2004-08-04,28.9326553345,13.6999998093
64272,2004-09-01,28.1667575836,11.3999996185
64272,2004-10-05,28.405872345,10.5
64272,2004-11-01,29.353099823,13.8000001907
64272,2004-12-13,30.3641834259,20.2999992371
64272,2005-01-05,31.0048904419,27.6000003815
64272,2005-02-04,31.7232303619,27.7999992371
64272,2005-03-09,32.3009872437,32.5
64272,2005-04-06,32.6568145752,32.7999992371
64272,2005-05-11,32.9340286255,30.1000003815
64272,2005-06-21,32.6942825317,24.8999996185
64272,2005-07-08,32.2413444519,22.8999996185
64272,2005-08-05,31.3143024445,17.0
64272,2005-09-02,30.5958042145,14.1999998093
64272,2005-10-18,30.575553894,12.1000003815
64272,2005-11-15,30.9085273743,16.7999992371
64272,2005-12-08,31.450056076,20.8999996185
64272,2006-01-06,32.3894386292,28.1000003815
64272,2006-02-07,33.0753059387,32.5
64272,2006-03-22,33.8376808167,31.8999996185
64272,2006-04-04,34.0988464355,33.5999984741
64272,2006-05-03,34.5183334351,34.0999984741
64272,2006-06-08,34.169052124,26.5
64272,2006-07-13,33.2698554993,19.2999992371
64272,2006-08-03,32.7170715332,13.1000003815
