sp,tstp,time
311,1,9451
311,2,9465
312,1,9480.5
312,2,9496
313,1,9511
313,2,9526
314,1,9541.5
314,2,9557
315,1,9572
315,2,9587
316,1,9602.5
316,2,9618
317,1,9633.5
317,2,9649
318,1,9664
318,2,9679
319,1,9694.5
319,2,9710
320,1,9725
320,2,9740
321,1,9755.5
321,2,9771
322,1,9786.5
322,2,9802
323,1,9816
323,2,9830
324,1,9845.5
324,2,9861
325,1,9876
325,2,9891
326,1,9906.5
326,2,9922
327,1,9937
327,2,9952
328,1,9967.5
328,2,9983
329,1,9998.5
329,2,10014
330,1,10029
330,2,10044
331,1,10059.5
331,2,10075
332,1,10090
332,2,10105
333,1,10120.5
333,2,10136
334,1,10151.5
334,2,10167
335,1,10181.5
335,2,10196
336,1,10211.5
336,2,10227
337,1,10242
337,2,10257
338,1,10272.5
338,2,10288
339,1,10303
339,2,10318
340,1,10333.5
340,2,10349
341,1,10364.5
341,2,10380
342,1,10395
342,2,10410
343,1,10425.5
343,2,10441
344,1,10456
344,2,10471
345,1,10486.5
345,2,10502
346,1,10517.5
346,2,10533
347,1,10547
347,2,10561
348,1,10576.5
348,2,10592
349,1,10607
349,2,10622
350,1,10637.5
350,2,10653
351,1,10668
351,2,10683
352,1,10698.5
352,2,10714
353,1,10729.5
353,2,10745
354,1,10760
354,2,10775
355,1,10790.5
355,2,10806
356,1,10821
356,2,10836
357,1,10851.5
357,2,10867
358,1,10882.5
358,2,10898
359,1,10912
359,2,10926
360,1,10941.5
360,2,10957
361,1,10972
361,2,10987
362,1,11002.5
362,2,11018
363,1,11033
363,2,11048
364,1,11063.5
364,2,11079
365,1,11094.5
365,2,11110
366,1,11125
366,2,11140
367,1,11155.5
367,2,11171
368,1,11186
368,2,11201
369,1,11216.5
369,2,11232
370,1,11247.5
370,2,11263
371,1,11277
371,2,11291
372,1,11306.5
372,2,11322
373,1,11337
373,2,11352
374,1,11367.5
374,2,11383
375,1,11398
375,2,11413
376,1,11428.5
376,2,11444
377,1,11459.5
377,2,11475
378,1,11490
378,2,11505
379,1,11520.5
379,2,11536
380,1,11551
380,2,11566
381,1,11581.5
381,2,11597
382,1,11612.5
382,2,11628
383,1,11642.5
383,2,11657
384,1,11672.5
384,2,11688
385,1,11703
385,2,11718
386,1,11733.5
386,2,11749
387,1,11764
387,2,11779
388,1,11794.5
388,2,11810
389,1,11825.5
389,2,11841
390,1,11856
390,2,11871
391,1,11886.5
391,2,11902
392,1,11917
392,2,11932
393,1,11947.5
393,2,11963
394,1,11978.5
394,2,11994
395,1,12008
395,2,12022
396,1,12037.5
396,2,12053
397,1,12068
397,2,12083
398,1,12098.5
398,2,12114
399,1,12129
399,2,12144
400,1,12159.5
400,2,12175
401,1,12190.5
401,2,12206
402,1,12221
402,2,12236
403,1,12251.5
403,2,12267
404,1,12282
404,2,12297
405,1,12312.5
405,2,12328
406,1,12343.5
406,2,12359
407,1,12373
407,2,12387
408,1,12402.5
408,2,12418
409,1,12433
409,2,12448
410,1,12463.5
410,2,12479
411,1,12494
411,2,12509
412,1,12524.5
412,2,12540
413,1,12555.5
413,2,12571
414,1,12586
414,2,12601
415,1,12616.5
415,2,12632
416,1,12647
416,2,12662
417,1,12677.5
417,2,12693
418,1,12708.5
418,2,12724
419,1,12738
419,2,12752
420,1,12767.5
420,2,12783
421,1,12798
421,2,12813
422,1,12828.5
422,2,12844
423,1,12859
423,2,12874
424,1,12889.5
424,2,12905
425,1,12920.5
425,2,12936
426,1,12951
426,2,12966
427,1,12981.5
427,2,12997
428,1,13012
428,2,13027
429,1,13042.5
429,2,13058
430,1,13073.5
430,2,13089
431,1,13103.5
431,2,13118
432,1,13133.5
432,2,13149
433,1,13164
433,2,13179
434,1,13194.5
434,2,13210
435,1,13225
435,2,13240
436,1,13255.5
436,2,13271
437,1,13286.5
437,2,13302
438,1,13317
438,2,13332
439,1,13347.5
439,2,13363
440,1,13378
440,2,13393
441,1,13408.5
441,2,13424
442,1,13439.5
442,2,13455
443,1,13469
443,2,13483
444,1,13498.5
444,2,13514
445,1,13529
445,2,13544
446,1,13559.5
446,2,13575
447,1,13590
447,2,13605
448,1,13620.5
448,2,13636
449,1,13651.5
449,2,13667
450,1,13682
450,2,13697
451,1,13712.5
451,2,13728
452,1,13743
452,2,13758
453,1,13773.5
453,2,13789
454,1,13804.5
454,2,13820
455,1,13834
455,2,13848
456,1,13863.5
456,2,13879
457,1,13894
457,2,13909
458,1,13924.5
458,2,13940
459,1,13955
459,2,13970
460,1,13985.5
460,2,14001
461,1,14016.5
461,2,14032
462,1,14047
462,2,14062
463,1,14077.5
463,2,14093
464,1,14108
464,2,14123
465,1,14138.5
465,2,14154
466,1,14169.5
466,2,14185
467,1,14199
467,2,14213
468,1,14228.5
468,2,14244
469,1,14259
469,2,14274
470,1,14289.5
470,2,14305
471,1,14320
471,2,14335
472,1,14350.5
472,2,14366
473,1,14381.5
473,2,14397
474,1,14412
474,2,14427
475,1,14442.5
475,2,14458
476,1,14473
476,2,14488
477,1,14503.5
477,2,14519
478,1,14534.5
478,2,14550
479,1,14564.5
479,2,14579
480,1,14594.5
480,2,14610
481,1,14625
481,2,14640
482,1,14655.5
482,2,14671
483,1,14686
483,2,14701
484,1,14716.5
484,2,14732
485,1,14747.5
485,2,14763
486,1,14778
486,2,14793
487,1,14808.5
487,2,14824
