 sp  tstp    time
 57     2  1736.0
 57     2  1736.0
 58     1  1751.5
 58     1  1751.5
 58     1  1751.5
 58     1  1751.5
 58     2  1767.0
 58     2  1767.0
 58     2  1767.0
 58     2  1767.0
 59     1  1781.0
 59     1  1781.0
 59     1  1781.0
 59     1  1781.0
 59     2  1795.0
 59     2  1795.0
 59     2  1795.0
 59     2  1795.0
 60     1  1810.5
 60     1  1810.5
 60     1  1810.5
 60     1  1810.5
 60     2  1826.0
 60     2  1826.0
 60     2  1826.0
 60     2  1826.0
 61     1  1841.0
 61     1  1841.0
 61     1  1841.0
 61     1  1841.0
 61     2  1856.0
 61     2  1856.0
 61     2  1856.0
 61     2  1856.0
 62     1  1871.5
 62     1  1871.5
 62     1  1871.5
 62     1  1871.5
 62     2  1887.0
 62     2  1887.0
 62     2  1887.0
 62     2  1887.0
 63     1  1902.0
 63     1  1902.0
 63     1  1902.0
 63     1  1902.0
 63     2  1917.0
 63     2  1917.0
 63     2  1917.0
 63     2  1917.0
 64     1  1932.5
 64     1  1932.5
 64     1  1932.5
 64     1  1932.5
 64     2  1948.0
 64     2  1948.0
 64     2  1948.0
 64     2  1948.0
 65     1  1963.5
 65     1  1963.5
 65     1  1963.5
 65     1  1963.5
 65     2  1979.0
 65     2  1979.0
 65     2  1979.0
 65     2  1979.0
 66     1  1994.0
 66     1  1994.0
 66     1  1994.0
 66     1  1994.0
 66     2  2009.0
 66     2  2009.0
 66     2  2009.0
 66     2  2009.0
 67     1  2024.5
 67     1  2024.5
 67     1  2024.5
 67     1  2024.5
 67     2  2040.0
 67     2  2040.0
 67     2  2040.0
 67     2  2040.0
 68     1  2055.0
 68     1  2055.0
 68     1  2055.0
 68     1  2055.0
 68     2  2070.0
 68     2  2070.0
 68     2  2070.0
 68     2  2070.0
 69     1  2085.5
 69     1  2085.5
 69     1  2085.5
 69     1  2085.5
 69     2  2101.0
 69     2  2101.0
 69     2  2101.0
 69     2  2101.0
 70     1  2116.5
 70     1  2116.5
 70     1  2116.5
 70     1  2116.5
 70     2  2132.0
 70     2  2132.0
 70     2  2132.0
 70     2  2132.0
 71     1  2146.0
 71     1  2146.0
 71     1  2146.0
 71     1  2146.0
 71     2  2160.0
 71     2  2160.0
 71     2  2160.0
 71     2  2160.0
 72     1  2175.5
 72     1  2175.5
 72     1  2175.5
 72     1  2175.5
 72     2  2191.0
 72     2  2191.0
 72     2  2191.0
 72     2  2191.0
 73     1  2206.0
 73     1  2206.0
 73     1  2206.0
 73     1  2206.0
 73     2  2221.0
 73     2  2221.0
 73     2  2221.0
 73     2  2221.0
 74     1  2236.5
 74     1  2236.5
 74     1  2236.5
 74     1  2236.5
 74     2  2252.0
 74     2  2252.0
 74     2  2252.0
 74     2  2252.0
 75     1  2267.0
 75     1  2267.0
 75     1  2267.0
 75     1  2267.0
 75     2  2282.0
 75     2  2282.0
 75     2  2282.0
 75     2  2282.0
