MF6Name,Well_Name,x,y,layer,mag,mag2,nInterp,localx,localy,Row,Column,nInterp,ibound1,ibound2,ibound3,ibound4,Column1,Column2,Column3,Column4,Row1,Row2,Row3,Row4,Weight1,Weight2,Weight3,Weight4,Node,Node1,Node2,Node3,Node4
H032A,331940104310901,544702.0,3687739.5,1,,,4,34639.0,99815.5,270,173,4,1,1,1,1,172,173,172,173,270,270,271,271,0.2111395608867446,0.4686703492350406,0.09944661584157025,0.22074347403664454,79797,79796,79797,80092,80093
H033A,331914104253701,553289.7,3686982.2,1,,,4,43226.69999999995,99058.20000000019,274,215,4,1,1,1,1,215,216,215,216,274,274,275,275,0.5687559455915796,0.3465387334805632,0.05263513052408378,0.032070190403773374,81023,81023,81024,81319,81320
H034A,331855104205101,560688.1,3686440.6,1,,,4,50625.09999999998,98516.6000000001,277,252,4,1,1,1,1,252,253,252,253,276,276,277,277,0.188264758733262,0.03475281861256584,0.6559052881923422,0.1210771344618302,81948,81652,81653,81948,81949
H035A,331854104212101,559912.6,3686405.0,1,,,4,49849.59999999998,98481.0,277,248,4,1,1,1,1,248,249,248,249,276,276,277,277,0.032196918692365864,0.013854143103810786,0.6669600048737047,0.28698893333011877,81944,81648,81649,81944,81945
H036A,331812104211801,559998.1,3685112.0,1,,,4,49935.09999999998,97188.0,283,249,4,1,1,1,1,248,249,248,249,283,283,284,284,0.16957896212913517,0.4490084871642226,0.10456006594660966,0.2768524847600326,83721,83720,83721,84016,84017
H037A,331756104383701,533130.7,3684490.3,3,,,4,23067.699999999953,96566.29999999981,286,115,4,1,1,1,1,115,116,115,116,286,286,287,287,0.43896842194742686,0.08916726563347943,0.392197568667779,0.0796667437513147,84475,84475,84476,84771,84772
H038A,331705104262801,551992.4,3683002.5,1,,,4,41929.40000000002,95078.5,294,209,4,1,1,1,1,208,209,208,209,293,293,294,294,0.009293321055591525,0.12303388804078513,0.06093653657575174,0.8067362543278715,86937,86640,86641,86936,86937
H039A,331703104222901,558174.8,3682976.0,1,,,4,48111.80000000005,95052.0,294,240,4,1,1,1,1,239,240,239,240,293,293,294,294,0.00020144821350550696,0.00039506812855970834,0.33750633831262333,0.6618971453453115,86968,86671,86672,86967,86968
H040A,331645104305201,545166.6,3682352.4,3,,,4,35103.59999999998,94428.3999999999,297,175,4,1,1,1,1,174,175,174,175,297,297,298,298,0.0009671079952765897,0.8997328045127929,0.00010662142541759213,0.09919346606651293,87791,87790,87791,88086,88087
H041A,331553104252101,553737.7,3680794.6,3,,,4,43674.69999999995,92870.6000000001,305,218,4,1,1,1,1,217,218,217,218,304,304,305,305,0.06189014035955678,0.09503342601108496,0.3325065827774697,0.5105698508518888,90202,89905,89906,90201,90202
H042A,331532104255202,552939.2,3680143.5,1,,,4,42876.19999999995,92219.5,308,214,4,1,1,1,1,213,214,213,214,308,308,309,309,0.33473694408812305,0.5855883561563128,0.0289789550610341,0.05069574469452991,91086,91085,91086,91381,91382
H043A,Orchard Park Level-826157,554489.7,3679931.1,3,,,4,44426.69999999995,92007.1000000001,309,221,4,1,1,1,1,221,222,221,222,309,309,310,310,0.567303123700775,0.2971882466944729,0.08892450693641965,0.046584122668332395,91389,91389,91390,91685,91686
H044A,331524104245101,554489.7,3679925.0,1,,,4,44426.69999999995,92001.0,309,221,4,1,1,1,1,221,222,221,222,309,309,310,310,0.5474043895733397,0.28676406664026405,0.10882324106385494,0.05700830272254119,91389,91389,91390,91685,91686
H045A,331429104221301,558617.2,3678235.9,1,,,4,48554.19999999995,90311.8999999999,318,242,4,1,1,1,1,241,242,241,242,317,317,318,318,0.06064424056164576,0.3770595691870625,0.07790662239854289,0.48438956785274895,94074,93777,93778,94073,94074
H046A,331401104252001,553782.6,3677345.7,1,,,4,43719.59999999998,89421.70000000019,322,218,4,1,1,1,1,217,218,217,218,321,321,322,322,0.0021480020766985863,0.010398725036113601,0.16905218880855127,0.8184010840786365,95234,94937,94938,95233,95234
H047A,331357104245001,554559.8,3677226.8,1,,,4,44496.80000000005,89302.79999999981,323,222,4,1,1,1,1,221,222,221,222,322,322,323,323,0.12972148640863035,0.29177696264619296,0.17804117962138813,0.4004603713237885,95534,95237,95238,95533,95534
H048A,331248104194801,562389.6,3675148.9,1,,,4,52326.59999999998,87224.8999999999,333,261,4,1,1,1,1,260,261,260,261,332,332,333,333,0.03564188242469138,0.05667896383120788,0.3504234957662486,0.5572556579778521,98533,98236,98237,98532,98533
H049A,331213104241601,555458.0,3674029.1,1,,,4,45395.0,86105.1000000001,338,226,4,1,1,1,1,226,227,226,227,338,338,339,339,0.44318870471142774,0.08264045300660655,0.39964912237818206,0.07452171990378367,99978,99978,99979,100274,100275
H050A,331138104210001,560539.1,3672981.4,1,,,4,50476.09999999998,85057.3999999999,344,251,4,1,1,1,1,251,252,251,252,343,343,344,344,0.1858310514385905,0.1319133214222121,0.39901345663393906,0.2832421705052584,101779,101483,101484,101779,101780
H051A,331124104275501,549795.8,3672489.4,1,,,4,39732.80000000005,84565.3999999999,346,198,4,1,1,1,1,198,199,198,199,346,346,347,347,0.8628375387536684,0.00918982146104984,0.12662400582586505,0.0013486339594166005,102318,102318,102319,102614,102615
H052A,331005104205401,560712.3,3670118.4,1,,,4,50649.30000000005,82194.3999999999,358,252,4,1,1,1,1,252,253,252,253,357,357,358,358,0.06215067641236857,0.023707909444899138,0.6617219076957433,0.2524195064469889,105924,105628,105629,105924,105925
H053A,Greenfield level-822321,552453.5,3670073.2,3,,,4,42390.5,82149.20000000019,358,211,4,1,1,1,1,211,212,211,212,358,358,359,359,0.6700905801822372,0.1910801825634052,0.10802522352411427,0.030804013730243406,105883,105883,105884,106179,106180
H054A,330838104260701,552619.9,3667392.1,1,,,4,42556.90000000002,79468.1000000001,371,212,4,1,1,1,1,212,213,212,213,371,371,372,372,0.5073340651858075,0.026170269499582444,0.443612407414054,0.022883257900556075,109732,109732,109733,110028,110029
H055A,330805104243901,554905.5,3666388.5,1,,,4,44842.5,78464.5,376,223,4,1,1,1,1,223,224,223,224,376,376,377,377,0.32095512457753167,0.22368418187241532,0.26834337220113924,0.18701732134891372,111223,111223,111224,111519,111520
H056A,330714104180401,565150.6,3664880.8,1,,,4,55087.59999999998,76956.79999999981,384,274,4,1,1,1,1,274,275,274,275,383,383,384,384,0.03300044529815315,0.016908088861231355,0.6282180387543972,0.3218734270862183,113642,113346,113347,113642,113643
H057A,330702104402401,530426.3,3664341.2,3,,,4,20363.300000000047,76417.20000000019,387,102,4,1,1,1,1,101,102,101,102,386,386,387,387,0.10095623520004568,0.2666171363111357,0.17369977370775586,0.4587268547810628,114358,114061,114062,114357,114358
H058A,330646104173301,565959.8,3664023.9,1,,,4,55896.80000000005,76099.8999999999,388,278,4,1,1,1,1,278,279,278,279,388,388,389,389,0.5047627122842322,0.2855220248503519,0.13394722170032355,0.07576804116509235,114830,114830,114831,115126,115127
H059A,330608104193701,562753.6,3662832.5,1,,,4,52690.59999999998,74908.5,394,262,4,1,1,1,1,262,263,262,263,394,394,395,395,0.500442958338887,0.36742867134383334,0.07618950805691023,0.05593886226036945,116590,116590,116591,116886,116887
H060A,330454104231201,557194.1,3660519.5,1,,,4,47131.09999999998,72595.5,406,235,4,1,1,1,1,234,235,234,235,405,405,406,406,0.07871697741408376,0.29130211110930154,0.13402063492968813,0.4959602765469266,120115,119818,119819,120114,120115
H061A,330455104354201,537749.6,3660455.9,3,,,4,27686.599999999977,72531.8999999999,406,138,4,1,1,1,1,138,139,138,139,405,405,406,406,0.046903577737307404,0.00696184817526748,0.8238512142777645,0.12228335980966067,120018,119722,119723,120018,120019
H062A,Bartlett level-950188,558134.7,3659236.1,3,,,4,48071.69999999995,71312.1000000001,412,239,4,1,1,1,1,239,240,239,240,412,412,413,413,0.531821873217196,0.45845491036765923,0.005221791779141815,0.004501424636002795,121895,121895,121896,122191,122192
H063A,330315104184701,564084.5,3657513.4,1,,,4,54021.5,69589.3999999999,421,269,4,1,1,1,1,269,270,269,270,420,420,421,421,0.4100443041208535,0.016743256525252225,0.5507248042854345,0.022487635068459935,124589,124293,124294,124589,124590
H064A,330253104163701,567460.6,3656858.5,1,,,4,57397.59999999998,68934.5,424,286,4,1,1,1,1,285,286,285,286,423,423,424,424,0.030539097783659253,0.14076051249315216,0.14773975372283066,0.680960636000358,125494,125197,125198,125493,125494
H065A,330236104231101,557244.9,3656270.0,1,,,4,47181.90000000002,68346.0,427,235,4,1,1,1,1,235,236,235,236,426,426,427,427,0.2361008916240424,0.009783145599475154,0.724111468194249,0.030004494582233417,126331,126035,126036,126331,126332
H066A,330216104201201,561891.5,3655682.3,1,,,4,51828.5,67758.29999999981,430,258,4,1,1,1,1,258,259,258,259,429,429,430,430,0.2797059624191392,0.044739277380477435,0.5823993425990227,0.0931554176013606,127242,126946,126947,127242,127243
H067A,330118104230101,557518.4,3653869.5,1,,,4,47455.40000000002,65945.5,439,236,4,1,1,1,1,236,237,236,237,438,438,439,439,0.1880471794823641,0.12502448201569574,0.41260501172060576,0.27432332678133436,129884,129588,129589,129884,129885
H068A,330026104224101,558046.7,3652271.3,1,,,4,47983.69999999995,64347.299999999814,447,239,4,1,1,1,1,239,240,239,240,446,446,447,447,0.35906814938079074,0.009399996646671292,0.6154208349506507,0.01611101902188723,132255,131959,131960,132255,132256
H069A,325845104295501,544815.0,3651142.8,3,,,4,34752.0,63218.799999999814,452,173,4,1,1,1,1,173,174,173,174,452,452,453,453,0.5681868377821399,0.19054218472659679,0.18067978116362113,0.06059119632764211,133669,133669,133670,133965,133966
