wellname,layer,row,column,roffset,coffset,xlocal,ylocal,x,y,active
T007BC-1,1,332,121,-0.430262544,0.123519822,60311.75991,78965.13127,6483066.85,1864630.788,0
T007EA-8,1,331,121,0.197008121,0.115191866,60307.59593,79151.49594,6482999.197,1864804.489,0
T008BC-4,1,309,116,0.471356489,-0.253924428,57623.03779,90014.32176,6476761.232,1874094.034,1
T008MW-2,1,310,116,-0.344027256,-0.041378547,57729.31073,89922.01363,6476892.667,1874043.64,1
T008V-1,1,309,116,0.468173533,-0.254772037,57622.61398,90015.91323,6476760.29,1874095.384,1
T029MW-1,1,68,34,-0.091421322,-0.442005692,16528.99715,210795.7107,6396835.797,1973536.424,1
T029MW-3,1,68,33,-0.073815021,0.296482349,16398.24117,210786.9075,6396715.938,1973483.43,1
T035MW-10,1,314,109,-0.419674248,-0.151621816,54174.18909,87959.83712,6474223.05,1870983.874,0
T035MW-11,2,313,109,0.159089797,0.083900548,54291.95027,88170.4551,6474261.673,1871222.067,0
T037C-9,1,71,30,-0.380247567,0.31528044,14907.64022,209440.1238,6395775.858,1971708.052,1
T044EX-6,1,300,126,-0.10158265,-0.178268392,62660.8658,94800.79132,6479858.173,1880314.882,1
T044MW-17,1,300,125,-0.071242216,0.380957116,62440.47856,94785.62111,6479656.265,1880225.25,1
T045MW-15,1,332,120,0.292732894,-0.096766009,59701.617,78603.63355,6482617.143,1864082.41,0
T045MW-6,1,332,121,0.059085828,-0.471140471,60014.42976,78720.45709,6482871.135,1864299.176,0
T061MW-2,1,142,72,-0.293163094,0.475611012,35987.80551,173896.5815,6427741.342,1945517.889,1
T064MW1,1,328,110,-0.223181201,0.072870082,54786.43504,80861.5906,6477226.116,1864523.104,0
T064MW21A,2,328,110,-0.245331501,0.037950241,54768.97512,80872.66575,6477205.921,1864527.54,0
T064MW21B,3,328,110,-0.235073156,0.035035223,54767.51761,80867.53658,6477206.306,1864522.222,0
T064MW21C,3,328,110,-0.224946504,0.031128742,54765.56437,80862.47325,6477206.202,1864516.796,0
T064MW8,1,327,110,0.411851185,-0.174097191,54662.9514,81044.07441,6477047.666,1864652.349,0
T076MW-2,1,330,122,-0.282714418,-0.040687131,60729.65643,79891.35721,6483142.757,1865644.085,0
T076MW-3,1,329,122,0.459579966,-0.148637782,60675.68111,80020.21002,6483047.966,1865746.706,0
T080MW-3,1,327,106,0.194776533,-0.290408474,52604.79576,81152.61173,6475076.511,1864050.41,0
T080MW-4,1,327,106,0.255518313,-0.342597385,52578.70131,81122.24084,6475062.377,1864012.946,0
T097MW-3,1,402,106,-0.228380005,0.182340706,52841.17035,43864.19,6488052.021,1829091.6,0
T110MW-1,1,310,122,0.20898371,0.163585333,60831.79267,89645.50814,6479902.617,1874844.921,1
T110MW-11,1,311,122,-0.099452752,0.313271103,60906.63555,89299.72638,6480091.211,1874545.59,1
T110MW-19,1,312,123,-0.375884493,-0.120972871,61189.51356,88937.94225,6480480.767,1874302.374,1
T110MW-9,1,310,123,0.473078461,-0.275762206,61112.1189,89513.46077,6480211.2,1874816.714,1
T124MW-13,1,311,120,0.461616731,0.427239841,59963.61992,89019.19163,6479301.014,1873959.443,1
T124MW-2,1,312,121,-0.375043516,-0.427591585,60036.20421,88937.52176,6479397.154,1873907.524,1
T132MW-1,1,63,23,0.199328523,0.350354044,11425.17702,213150.3357,6391234.446,1974003.438,1
T140MW-3,1,319,124,0.41068795,0.128503583,61814.25179,85044.65602,6482399.411,1870857.555,0
T140MW-8,1,320,124,0.052694439,0.174035421,61837.01771,84723.65278,6482530.593,1870563.697,0
T143MW-3,1,148,65,0.096119124,0.0257344,32262.8672,170701.9404,6425333.676,1941241.904,1
T153MW-2,1,298,111,-0.478032354,0.133280194,55316.6401,95989.01618,6472550.461,1878919.575,1
T153MW-5,1,297,111,0.275217689,-0.004371152,55247.81442,96112.39116,6472443.59,1879011.97,1
T164EX-1,-2,311,124,-0.094328285,-0.467528192,61516.2359,89297.16414,6480664.924,1874751.678,1
T164MW-1,1,311,124,-0.082100083,-0.417360696,61541.31965,89291.05004,6480690.586,1874754.512,1
T164MW-4,1,311,123,-0.03580899,0.35364677,61426.82338,89267.90449,6480590.911,1874693.602,1
T166MW-3,1,296,143,-0.337704887,-0.228127566,71135.93622,96918.85244,6487097.715,1885203.854,1
T168MW-6,1,142,73,-0.242649361,-0.092965603,36203.5172,173871.3247,6427952.683,1945567.933,1
T190MW-8,1,140,72,-0.13761193,0.003559959,35751.77998,174818.806,6427204.131,1946303.771,1
T196MW-2,1,70,31,0.41067287,-0.377419233,15061.29038,209544.6636,6395884.488,1971858.839,1
T196MW-3,1,71,31,-0.478656748,-0.410390057,15044.80497,209489.3284,6395887.922,1971801.202,1
T200MW-2,1,326,122,0.390660744,-0.012955169,60743.52242,81554.66963,6482586.9,1867211.829,0
T200MW-4,1,327,122,-0.37025947,-0.210207597,60644.8962,81435.12973,6482535.107,1867065.767,0
T205MW-8,1,306,111,-0.088583447,-0.135425667,55182.28717,91794.29172,6473858.891,1874931.872,1
T212MW-1,1,321,121,-0.186272859,-0.006536209,60246.7319,84343.13643,6481166.358,1869662.219,0
T224MW-6,1,298,113,0.060950607,-0.034906461,56232.54677,95719.5247,6473503.304,1878979.595,1
T240MW-4,1,411,105,0.10926734,-0.399680949,52050.15953,39195.36633,6488905.546,1824433.8,0
T240MW-5,1,411,104,0.048429688,0.238903459,51869.45173,39225.78516,6488725.332,1824400.578,0
T240MW-7,1,411,104,0.050534006,0.217794797,51858.8974,39224.733,6488715.774,1824395.98,0
T241MW-3,1,298,117,0.114627327,0.030348416,58265.17421,95692.68634,6475422.528,1879649.574,1
T244MW10D,3,305,116,-0.459573626,0.423284935,57961.64247,92479.78681,6476236.178,1876526.623,1
T244MW11D,3,305,117,-0.481095743,0.27220227,58386.10114,92490.54787,6476631.358,1876681.908,1
T244MW-4,1,304,117,0.218915383,-0.338295724,58080.85214,92640.54231,6476293.217,1876718.455,1
T244MW-6,1,305,117,-0.364699516,-0.386412463,58056.79377,92432.34976,6476341.815,1876514.59,1
T244MW-7S,1,305,117,-0.497196351,0.272313519,58386.15676,92498.59818,6476628.657,1876689.492,1
T244MW-8S,1,304,116,0.249581484,0.398525003,57949.2625,92625.20926,6476174.807,1876659.041,1
T244MW-9D,3,304,116,0.257063438,0.392533466,57946.26673,92621.46828,6476173.271,1876654.501,1
T244PZ-1,2,304,116,0.257063438,0.392533466,57946.26673,92621.46828,6476173.271,1876654.501,1
T244PZ-2,2,305,116,-0.459573626,0.423284935,57961.64247,92479.78681,6476236.178,1876526.623,1
T244PZ-3,2,305,117,-0.481095743,0.27220227,58386.10114,92490.54787,6476631.358,1876681.908,1
T244U-1,1,304,116,0.138386306,0.257146602,57878.5733,92680.80685,6476089.365,1876687.108,1
T250MW-4,1,70,30,-0.021965537,0.139625358,14819.81268,209760.9828,6395583.587,1971979.522,1
T254MW-5,1,322,121,-0.004661437,0.08347953,60291.73977,83752.33072,6481410.719,1869122.437,0
T256MW-4,-2,315,118,-0.394009312,0.379102917,58939.55146,87447.00466,6478876.425,1872131.819,1
